pr_number,title,state,submitter,submitter_repos,submitter_company,created_at,merged_at,updated_at,html_url,domain_primary,domain_secondary,category,description,tech_stack,has_agent_card,has_resolved_sh,has_llms_txt,scrape_title,scrape_desc,is_deprecation,notes,enriched
1867,ecosystem: add SwarmX — multi-agent AI orchestration with x402 payments,open,ItachiDevv,27,,2026-03-28,,2026-03-29T23:27:41Z,https://github.com/coinbase/x402/pull/1867,x402-swarms-production.up.railway.app,,Services/Endpoints,"Multi-agent AI orchestration platform with 47 x402-gated endpoints on Solana mainnet. 10 categories including crypto analysis, DeFi, trading, research. Premium endpoints from $0.001–$5.00 USDC. 39 MCP tools, dual LLM (Gemini 2.5 Flash + GPT-4o).","USDC, Solana, TypeScript, Bun, @dexterai/x402@2.0.0, MCP, Gemini 2.5 Flash, GPT-4o",False,False,False,SwarmX — AI Agent Teams. One Payment.,"Try AI agent teams for contract audits, token risk analysis, and research — free, no wallet needed.",False,Railway-hosted deployment. npm: @itachisol/plugin-x402-swarms. GitHub: ItachiDevv/eliza-x402-swarms. Implements Kye Gomez's x402 monetization pattern.,True
1865,Add Naro to ecosystem — flight data API for AI agents,open,lacrossehub,12,,2026-03-28,,2026-03-29T17:46:05Z,https://github.com/coinbase/x402/pull/1865,api.naro.com.ai,naro.com.ai,Services/Endpoints,"Real-time flight search and booking API for AI agents. Wraps 300+ airlines behind x402 micropayments at $0.02/search in USDC on Base. No API keys, no sign-up, no enterprise contracts.","USDC, Base, x402",False,False,False,Naro — Real-Time Flight Data for AI Agents,Flight search and booking infrastructure for AI agents. Real-time data from 300+ airlines via simple micropayments.,False,Submitter bio: 'js copy paster' — low signal GitHub profile. Clean domain naro.com.ai. $0.02/search via POST /api/flights/search.,True
1864,Add APIMesh to ecosystem — 23 x402-payable API tools,closed,mbeato,13,,2026-03-28,,2026-03-30T00:09:32Z,https://github.com/coinbase/x402/pull/1864,apimesh.xyz,check.apimesh.xyz,Services/Endpoints,"23 web analysis APIs for AI agents: Core Web Vitals, Security Headers, SEO Audit, Tech Stack Detection, Email Verification, Email Security, Brand Assets, Redirect Chain, Indexability, and more. Pay per call USDC on Base. MCP server available.","USDC, Base, x402, MCP",False,False,True,APIMesh — Web Analysis APIs for AI Agents,"23 web analysis APIs for AI agents. Pay per call with x402 micropayments, Stripe MPP, or pre-paid API credits.",False,Closed (not merged) — superseded by #1855 (v1 unsigned commit) then re-submitted as #1864 with GPG-signed commit. MCP: @mbeato/apimesh-mcp-server. Smithery: apimesh-mcp-server. llms.txt confirmed 200.,True
1858,Add HedgeAlphaOracle and EventAlphaOracle to ecosystem,open,Nurse2Web3,7,,2026-03-28,,2026-03-29T05:31:04Z,https://github.com/coinbase/x402/pull/1858,hedgealphaoracle-production.up.railway.app,eventalphaoraclecode-production.up.railway.app,Services/Endpoints,"Two oracle services: HedgeAlphaOracle (crypto/stock trading signals: sentiment, alpha, Fear & Greed, whale alerts, portfolio risk) and EventAlphaOracle (prediction market signals from 40+ sportsbooks + Polymarket/Kalshi). Multi-chain: Base, Monad, Hedera, Algorand.","USDC, Base, Monad, Hedera, Algorand, x402",False,False,False,HedgeAlphaOracle,,False,Two entries in one PR. Submitter bio: 'Nurse turned Web3 builder & educator'. Provider site: nurse2web3.com. Railway-hosted. Notable: multi-chain support beyond Base.,True
1855,Add APIMesh to ecosystem,open,mbeato,13,,2026-03-27,,2026-03-29T02:03:07Z,https://github.com/coinbase/x402/pull/1855,apimesh.xyz,,Services/Endpoints,"22 x402-payable web analysis tools for AI agents including Core Web Vitals, Security Headers, SEO Audit, Tech Stack Detection, Email Verification, and more. Free /preview endpoints for testing.","USDC, Base, x402, MCP",False,False,True,APIMesh — Web Analysis APIs for AI Agents,"23 web analysis APIs for AI agents. Pay per call with x402 micropayments, Stripe MPP, or pre-paid API credits.",False,"Original APIMesh submission (v1, unsigned commit). Superseded by #1864 (GPG-signed). Still open/pending.",True
1843,feat(ecosystem): add Rosud facilitator to ecosystem directory,closed,0xAxiom,0,,2026-03-27,,2026-03-29T09:59:54Z,https://github.com/coinbase/x402/pull/1843,api.rosud.com,,Facilitator,"AI agent payment infrastructure API abstracting Circle Programmable Wallets + EIP-3009 signature verification. Base mainnet and Sepolia. 0.1% fee, idempotency key support, full audit trail. Built by Kavin Kim.","USDC, Base, Base Sepolia, EIP-3009, Circle Programmable Wallets, x402",False,False,False,,,False,Closed (not merged). Submitter has 0 public repos — brand new account. Resolves issue #1827. GPG-signed commit.,True
1838,feat(ecosystem): add Sperax facilitator and SperaxOS service,open,nirholas,78,,2026-03-26,,2026-03-28T10:25:14Z,https://github.com/coinbase/x402/pull/1838,x402.sperax.io,chat.sperax.io,Facilitator + Services/Endpoints,"x402 payment facilitator by SperaxOS enabling gasless USDC and USDs settlement on Base, Arbitrum, and Ethereum. AI-powered DeFi workspace where autonomous agents execute trades and manage yield.","USDC, USDs, EIP-3009, EIP-2612, Base, Arbitrum, Ethereum",False,False,True,SperaxOS,"SperaxOS is a programmable agent layer for DeFi, enabling autonomous capital execution, dynamic yield optimization",False,Two entries: sperax-facilitator (x402.sperax.io) and sperax (chat.sperax.io). llms.txt found at chat.sperax.io.,True
1829,Add AgentBridge to ecosystem partners,open,tianzizhiming-svg,3,,2026-03-26,,2026-03-26T11:45:32Z,https://github.com/coinbase/x402/pull/1829,api.060504.shop,,Services/Endpoints,"Live x402 service for fetching Chinese web content (Xiaohongshu, Zhihu, etc.). Returns clean markdown, settled in USDC on Base via x402. $0.003/request.","USDC, Base, x402",False,False,False,AgentBridge,"Chinese web content API — returns clean markdown from Xiaohongshu, Zhihu, settled in USDC on Base",False,Submitter bio: 'Building the Chinese web data layer for AI Agents.' Domain is api.060504.shop (non-branded). Listed on 402index.io.,True
1828,feat(ecosystem): add PolyLiberty — Polymarket AI prediction & analytics service,open,miinimes1,1,,2026-03-26,,2026-03-26T10:31:34Z,https://github.com/coinbase/x402/pull/1828,polyliberty.xyz,,Services/Endpoints,"Polymarket trading terminal routing attributed order flow through Polymarket's CLOB, combining real-time market data, AI signals, and social intelligence. 6 machine-payable API endpoints via x402 on Base.","USDC, WETH, USDT, Base, PayAI facilitator, x402",False,False,True,PolyLiberty - Polymarket Trading Terminal,"A non-custodial Polymarket trading terminal with attributed order routing, live market context, and execution-focused tools",False,PR body includes llms.txt link: https://polyliberty.xyz/llms.txt — confirmed 200. Treasury: 0x11FD3946B5040c48e707bC6185B56CF40B61E108. Only 1 repo on GitHub.,True
1824,Add satoshidata.ai to x402 ecosystem,open,wrbtc,5,,2026-03-26,,2026-03-26T03:20:31Z,https://github.com/coinbase/x402/pull/1824,satoshidata.ai,,Services/Endpoints,"Bitcoin wallet intelligence API with native x402 USDC micropayments on Base. Agents query wallet summaries, analytics, and transaction verification — pay per call, no signup.","USDC, Base, Lightning (L402), x402, self-hosted facilitator",True,False,True,satoshidata.ai — Bitcoin Wallet Intelligence API,Bitcoin wallet intelligence,False,"High signal: agent-card.json 200 + llms.txt 200 at root domain. Endpoints: /v1/wallets/{address}/summary, /v1/wallets/{address}/detail, /v1/tx/verify ($0.01 each). Also supports L402.",True
